Age (Ma)	d18O adj
  3.628	3.44
  3.631	3.39
  3.631	3.21
  3.632	3.51
  3.634	3.43
  3.635	3.76
  3.636	3.69
  3.636	 3.6
  3.637	3.13
   3.64	3.21
   3.64	2.86
   3.64	3.59
  3.643	3.29
  3.643	 2.9
  3.644	3.45
  3.647	2.87
  3.648	3.32
   3.65	2.88
  3.652	3.24
  3.653	2.77
  3.654	2.67
  3.656	3.16
  3.658	3.04
  3.658	2.87
   3.66	3.16
  3.661	3.06
  3.663	3.01
  3.664	3.25
  3.667	3.27
  3.668	3.13
  3.668	3.41
  3.669	3.33
  3.672	 3.6
  3.674	3.62
  3.674	3.22
  3.676	3.41
  3.676	 3.6
  3.679	3.29
   3.68	3.33
   3.68	3.46
  3.682	3.05
  3.683	3.23
  3.684	3.34
  3.686	3.16
  3.687	3.04
  3.688	 3.2
   3.69	3.12
  3.692	2.98
  3.692	3.01
  3.693	 2.9
  3.695	2.76
  3.696	3.03
  3.697	2.92
  3.698	2.95
    3.7	2.64
    3.7	3.03
  3.704	3.03
  3.704	3.03
  3.705	2.93
  3.708	3.11
  3.708	2.99
  3.708	3.05
  3.711	2.82
  3.712	3.09
  3.713	2.98
  3.716	3.39
  3.716	3.07
  3.716	3.21
  3.719	3.17
  3.719	3.14
   3.72	3.33
  3.722	3.17
  3.724	3.29
  3.725	3.03
  3.726	2.91
  3.727	2.79
  3.728	3.07
  3.729	2.97
  3.731	3.01
  3.732	2.76
  3.733	2.91
  3.736	2.63
  3.736	2.81
  3.737	2.72
   3.74	3.33
   3.74	2.95
  3.741	2.86
  3.744	3.13
  3.744	   3
  3.745	2.85
  3.748	3.06
  3.749	2.86
  3.752	3.17
  3.753	2.85
  3.756	3.21
  3.756	2.93
  3.756	3.28
  3.759	3.08
   3.76	3.53
   3.76	3.31
  3.762	2.89
  3.764	3.35
  3.764	3.34
  3.765	2.88
  3.768	2.79
  3.768	3.39
   3.77	2.69
  3.772	3.13
  3.772	3.42
  3.774	2.76
  3.776	3.27
  3.778	 2.8
  3.779	2.66
   3.78	3.13
  3.782	2.48
  3.783	2.85
  3.784	3.06
  3.786	3.06
  3.788	   3
  3.788	3.01
   3.79	3.16
  3.791	3.22
  3.792	3.03
  3.793	3.07
  3.794	 3.2
  3.796	3.12
  3.799	2.89
    3.8	3.08
  3.803	3.23
  3.803	2.88
  3.804	3.04
  3.808	3.02
  3.808	3.05
  3.809	3.11
  3.811	2.99
  3.812	 3.1
  3.813	3.14
  3.816	3.06
  3.816	3.16
  3.818	2.88
   3.82	3.02
   3.82	3.17
  3.822	3.07
  3.824	3.11
  3.824	3.12
  3.827	2.92
  3.828	2.97
  3.828	3.06
  3.829	3.16
  3.832	 3.2
  3.833	2.89
  3.835	3.04
  3.836	3.28
  3.837	2.93
   3.84	3.09
   3.84	3.18
  3.841	3.18
  3.843	3.03
  3.844	   3
  3.846	3.04
  3.846	3.28
  3.847	3.16
  3.848	2.86
   3.85	2.81
  3.852	3.28
  3.852	3.35
  3.852	2.88
  3.854	2.68
  3.855	3.27
  3.856	3.15
  3.856	2.93
  3.858	2.86
  3.858	2.63
   3.86	2.98
  3.861	2.62
  3.862	2.85
  3.864	2.96
  3.864	2.98
  3.864	2.98
  3.868	 2.8
  3.868	 2.7
  3.868	2.93
  3.872	2.78
  3.872	2.75
  3.872	2.95
  3.876	2.99
  3.876	3.13
  3.878	3.22
  3.879	3.02
   3.88	3.27
  3.883	3.13
  3.884	3.04
  3.884	3.36
  3.885	3.05
  3.887	3.14
  3.888	3.11
  3.888	 3.2
  3.891	2.83
  3.892	3.13
  3.894	2.86
  3.896	 3.1
  3.897	3.02
    3.9	2.72
    3.9	3.03
  3.902	2.97
  3.904	3.01
  3.905	3.05
  3.906	2.96
  3.908	2.95
  3.908	3.04
  3.912	2.91
  3.912	3.07
  3.915	2.97
  3.916	3.04
  3.918	2.86
  3.918	2.86
   3.92	2.85
   3.92	3.06
  3.921	2.96
  3.921	2.85
  3.923	2.91
  3.923	3.15
  3.924	3.36
  3.925	2.97
  3.927	3.21
  3.927	3.06
  3.928	3.39
  3.929	3.19
  3.929	   3
  3.931	2.89
  3.932	3.24
  3.933	3.16
  3.934	2.99
  3.935	2.86
  3.936	 3.1
  3.938	2.94
  3.938	2.74
   3.94	3.01
  3.941	2.73
  3.942	2.73
  3.943	2.58
  3.944	2.93
  3.944	3.11
  3.944	2.98
  3.946	3.15
  3.947	3.03
  3.948	2.96
  3.949	 3.1
   3.95	3.17
  3.952	3.03
  3.952	3.02
  3.953	2.95
  3.954	2.78
  3.956	2.89
  3.956	3.03
  3.956	2.88
  3.956	3.12
  3.958	3.01
  3.959	3.05
   3.96	3.15
  3.961	3.02
  3.962	3.15
  3.964	3.02
  3.964	3.14
  3.966	3.37
  3.966	3.04
  3.967	3.22
  3.968	3.16
   3.97	3.29
   3.97	3.11
  3.972	3.18
  3.973	3.02
  3.976	3.15
  3.977	3.27
  3.977	3.24
   3.98	3.07
   3.98	3.14
  3.982	3.38
  3.983	3.32
  3.984	3.23
  3.984	3.15
  3.987	3.16
  3.988	3.32
  3.988	3.19
   3.99	3.19
  3.992	3.39
  3.992	3.24
  3.994	3.66
  3.996	3.55
  3.996	3.29
  3.999	3.38
      4	3.49
      4	3.31
  4.001	3.44
  4.003	2.91
  4.004	3.29
  4.004	 3.3
  4.005	3.22
  4.007	3.38
  4.008	3.13
  4.008	3.24
  4.009	3.15
  4.011	3.08
  4.012	3.16
  4.013	2.92
  4.014	3.15
  4.016	2.83
  4.016	3.12
   4.02	3.17
   4.02	 3.1
   4.02	3.15
  4.021	3.01
  4.023	3.12
  4.024	3.18
  4.027	2.94
  4.028	3.22
   4.03	3.05
  4.031	2.43
  4.032	3.28
  4.034	3.27
  4.036	3.22
  4.037	2.55
  4.037	3.41
   4.04	3.23
   4.04	2.89
  4.041	3.34
  4.043	3.37
  4.044	3.35
  4.044	3.28
  4.046	3.21
  4.048	3.29
  4.048	3.25
  4.049	3.28
  4.051	3.35
  4.052	3.17
  4.053	3.02
  4.053	2.95
  4.055	3.11
  4.055	3.13
  4.056	3.11
  4.058	3.13
   4.06	3.11
  4.062	3.21
  4.062	2.98
  4.064	3.11
  4.065	3.04
  4.068	3.23
  4.068	3.13
  4.069	2.93
  4.072	3.06
  4.072	3.14
  4.076	3.05
  4.076	3.19
  4.076	2.89
  4.079	2.92
   4.08	3.22
  4.082	3.13
  4.082	   3
  4.084	3.24
  4.085	3.08
  4.086	3.01
  4.088	3.24
  4.088	2.99
  4.089	3.13
  4.091	 3.2
  4.092	3.18
  4.093	 3.2
  4.096	3.21
  4.097	2.87
  4.098	 3.1
    4.1	3.08
    4.1	 3.2
  4.101	2.82
  4.102	2.83
  4.104	3.18
  4.106	3.06
  4.107	2.73
  4.108	3.17
  4.111	2.89
  4.112	3.15
  4.112	2.74
  4.113	2.76
  4.114	2.92
  4.116	3.12
  4.117	2.96
  4.117	 2.8
   4.12	3.13
   4.12	3.03
   4.12	3.09
  4.122	3.02
  4.123	2.85
  4.124	3.08
  4.124	3.15
  4.126	2.37
  4.126	2.75
  4.128	2.79
  4.128	3.22
   4.13	3.05
   4.13	2.89
  4.131	2.79
  4.132	2.99
  4.132	3.08
  4.133	 2.6
  4.134	2.88
  4.135	2.94
  4.136	2.87
  4.137	3.19
  4.137	2.92
  4.138	2.89
   4.14	3.11
   4.14	 2.9
  4.141	3.04
  4.142	2.91
  4.143	3.15
  4.144	2.88
  4.144	3.06
  4.146	3.16
  4.148	2.89
  4.148	3.31
  4.149	3.16
  4.149	3.08
  4.152	3.38
  4.153	2.74
  4.154	2.91
  4.154	3.45
  4.156	 3.2
  4.157	2.88
  4.157	2.76
  4.159	3.29
   4.16	3.12
  4.161	 3.3
  4.162	2.78
  4.163	3.17
  4.164	3.17
  4.167	2.87
  4.167	2.85
  4.168	3.21
  4.169	3.03
  4.172	2.92
  4.172	3.09
  4.175	   3
  4.175	3.07
  4.175	2.78
  4.176	3.02
  4.177	2.91
  4.179	2.99
   4.18	2.86
   4.18	3.09
  4.181	2.82
  4.183	 2.9
  4.184	3.09
  4.185	2.86
  4.187	3.02
  4.188	3.09
  4.189	2.89
  4.189	2.96
   4.19	2.89
  4.192	3.09
  4.193	2.95
  4.193	2.89
  4.196	3.04
  4.197	2.87
  4.198	2.98
    4.2	3.07
    4.2	2.85
  4.202	2.99
  4.204	3.02
  4.204	3.09
  4.206	2.87
  4.206	 2.4
  4.206	2.79
  4.206	3.08
  4.208	3.02
   4.21	3.07
  4.212	3.04
  4.213	2.89
  4.216	3.25
  4.216	 3.1
  4.217	2.99
  4.217	2.82
  4.218	2.91
  4.219	2.82
   4.22	3.08
  4.221	2.85
  4.222	2.82
  4.224	2.83
  4.224	3.05
  4.226	2.85
  4.226	2.89
  4.227	2.88
  4.228	3.19
  4.228	3.03
  4.229	2.94
  4.232	3.02
  4.232	3.26
  4.232	3.01
  4.233	3.16
  4.235	3.01
  4.236	3.09
  4.237	3.14
  4.237	2.81
  4.238	3.09
   4.24	3.14
  4.241	3.03
  4.244	3.12
  4.245	2.84
  4.245	2.86
  4.247	2.86
  4.248	2.87
  4.248	3.12
  4.248	2.76
  4.249	2.85
  4.249	3.08
  4.251	2.79
  4.251	3.04
  4.252	3.16
  4.254	3.31
  4.256	2.61
  4.256	3.34
  4.256	3.26
  4.257	3.13
  4.258	3.08
  4.258	 2.6
  4.259	3.05
   4.26	3.32
  4.261	3.16
  4.263	3.06
  4.263	3.16
  4.264	3.31
  4.266	3.07
  4.267	   3
  4.267	3.15
  4.268	3.14
  4.269	2.95
   4.27	2.85
  4.271	2.95
  4.272	3.08
  4.273	2.81
  4.273	2.82
  4.274	2.95
  4.276	 3.1
  4.278	2.69
  4.279	 2.7
 4.2795	2.61
   4.28	3.14
  4.281	3.17
  4.284	3.08
  4.285	3.11
  4.285	3.01
  4.288	3.25
  4.288	2.89
   4.29	2.91
  4.291	2.97
  4.291	3.03
  4.292	2.78
  4.294	3.01
  4.294	3.01
  4.296	2.91
  4.298	2.93
    4.3	2.83
    4.3	2.95
  4.302	2.86
  4.304	   3
  4.305	2.82
  4.306	3.13
  4.307	3.15
  4.308	3.09
  4.311	 3.1
  4.312	3.05
  4.315	2.86
  4.316	2.61
  4.316	2.89
  4.316	2.93
  4.319	2.79
  4.319	 2.7
   4.32	2.88
  4.321	2.74
  4.322	2.96
  4.323	2.59
  4.324	2.98
  4.325	 2.8
  4.326	2.67
  4.327	3.23
  4.328	3.14
  4.328	2.95
  4.329	2.81
  4.331	2.57
  4.332	2.97
  4.332	2.95
  4.333	2.75
  4.335	2.85
  4.336	2.65
  4.336	3.03
  4.336	2.84
  4.337	2.92
  4.338	2.58
   4.34	2.98
  4.341	3.05
  4.344	3.03
  4.345	2.85
  4.346	2.77
  4.347	2.86
  4.348	 3.2
  4.348	 3.1
   4.35	   3
  4.351	3.03
  4.352	 3.1
  4.353	2.92
  4.355	2.93
  4.356	3.37
  4.356	3.39
  4.356	3.07
  4.358	2.99
   4.36	2.99
   4.36	3.03
  4.361	3.06
 4.3628	2.71
  4.364	3.04
  4.364	3.01
  4.367	2.91
  4.368	 2.9
  4.369	2.84
  4.372	2.76
  4.372	2.92
  4.372	2.79
  4.374	2.45
  4.375	3.18
  4.376	2.68
  4.377	3.14
  4.377	   3
   4.38	3.08
   4.38	   3
   4.38	2.76
  4.383	3.18
  4.384	3.11
  4.384	2.98
  4.385	3.01
  4.388	3.21
  4.388	3.12
   4.39	3.02
   4.39	2.98
  4.392	3.14
  4.393	2.88
  4.393	2.86
  4.396	3.04
  4.396	2.97
  4.396	3.11
  4.398	2.89
  4.398	3.19
    4.4	2.98
    4.4	3.22
    4.4	3.08
  4.401	3.08
  4.404	2.71
  4.404	2.98
  4.404	3.11
  4.406	2.83
  4.408	3.15
  4.409	2.89
  4.412	3.04
  4.412	3.08
  4.413	2.94
  4.415	 2.7
  4.415	   3
  4.416	2.95
  4.418	2.95
  4.419	3.09
   4.42	2.94
  4.421	3.27
  4.424	 2.9
  4.425	 3.2
  4.425	2.88
  4.428	   3
  4.431	2.92
  4.431	2.64
  4.434	2.93
  4.435	2.87
  4.438	2.88
  4.439	2.86
   4.44	2.86
  4.441	2.65
  4.444	2.85
  4.447	3.12
  4.449	3.13
   4.45	   3
  4.453	2.52
  4.454	2.95
  4.457	2.81
 4.4578	2.57
  4.461	3.07
  4.461	3.13
  4.461	2.88
  4.461	3.03
  4.464	 2.8
  4.466	3.58
  4.467	2.82
   4.47	2.87
  4.471	2.67
  4.471	 3.1
  4.473	2.91
  4.474	2.69
  4.476	3.12
  4.478	2.82
   4.48	2.95
  4.481	2.84
  4.482	3.07
  4.485	2.64
  4.487	3.02
  4.489	 2.9
  4.492	 3.1
  4.492	2.84
  4.492	 2.9
  4.494	2.91
  4.496	2.88
  4.497	2.82
  4.498	3.23
  4.498	3.11
    4.5	2.93
  4.502	3.26
  4.502	2.68
  4.503	3.14
  4.504	2.94
  4.506	2.95
  4.509	2.72
  4.511	3.16
  4.514	2.92
  4.514	3.26
  4.515	3.12
  4.517	3.31
  4.518	2.91
  4.519	3.15
  4.521	3.13
  4.523	2.91
  4.524	2.64
  4.526	2.87
  4.528	2.99
  4.528	3.16
  4.529	2.79
   4.53	2.78
  4.531	2.87
  4.532	2.96
  4.532	3.08
  4.533	2.93
  4.535	2.93
  4.536	3.08
  4.537	2.93
  4.539	3.27
  4.539	3.06
   4.54	2.94
   4.54	3.12
  4.541	3.11
  4.543	2.88
  4.544	3.19
  4.545	2.98
  4.547	2.96
  4.548	3.23
  4.549	3.05
  4.551	2.96
  4.552	3.13
  4.552	3.26
  4.553	3.29
  4.555	 3.2
  4.556	3.26
  4.557	3.03
  4.557	3.43
  4.559	3.07
  4.559	3.31
   4.56	3.24
  4.561	3.26
  4.563	3.02
  4.563	3.15
  4.564	 3.2
  4.565	3.09
  4.568	2.88
  4.568	2.97
  4.568	3.15
   4.57	3.07
  4.571	3.07
  4.571	3.16
  4.572	3.16
  4.573	3.09
  4.575	3.05
  4.576	3.17
  4.576	2.91
  4.576	3.12
  4.578	2.96
  4.578	2.98
   4.58	3.27
  4.581	3.05
  4.581	2.93
  4.583	2.93
  4.583	2.99
  4.584	3.27
  4.585	2.87
  4.586	2.77
  4.587	3.08
  4.588	3.13
  4.589	3.17
  4.589	   3
  4.591	3.07
  4.592	3.08
  4.592	3.12
  4.594	3.23
  4.595	3.07
  4.595	3.29
  4.596	3.17
  4.596	3.22
  4.597	3.05
  4.598	 3.5
    4.6	3.05
    4.6	3.27
  4.601	2.99
  4.602	3.19
  4.604	2.99
  4.604	3.35
  4.606	3.01
  4.606	2.79
  4.607	3.09
  4.607	3.26
  4.608	3.33
  4.609	3.19
  4.611	3.03
  4.612	2.89
  4.612	3.29
  4.613	3.37
  4.614	3.02
  4.616	3.23
  4.616	3.22
  4.617	3.23
  4.618	2.96
  4.618	3.11
  4.619	2.88
   4.62	3.19
  4.621	3.03
  4.623	2.79
  4.624	3.22
  4.625	2.87
  4.626	 2.9
  4.627	2.98
  4.628	2.94
  4.628	3.23
  4.628	2.72
  4.631	3.23
  4.632	3.21
  4.633	3.01
  4.633	3.23
  4.635	3.12
  4.636	3.13
  4.636	3.22
  4.637	3.11
  4.638	3.06
  4.639	2.67
   4.64	2.99
   4.64	3.28
  4.641	3.17
  4.643	2.93
  4.644	3.32
  4.645	2.99
  4.648	2.89
  4.648	3.34
  4.648	2.95
  4.651	2.84
  4.652	3.33
  4.654	2.95
  4.654	3.42
  4.656	3.03
  4.656	3.25
  4.657	2.84
  4.659	2.97
   4.66	3.15
  4.663	2.74
  4.664	 3.1
  4.664	2.99
  4.665	3.06
  4.667	3.11
  4.668	2.46
  4.668	3.23
  4.668	 3.3
  4.668	3.11
   4.67	3.37
  4.671	3.46
  4.671	3.28
  4.672	3.31
  4.672	3.09
  4.673	3.24
  4.674	 3.1
  4.674	3.03
  4.675	2.89
  4.676	2.99
  4.676	3.08
  4.678	2.86
  4.678	3.17
  4.679	 3.1
   4.68	3.24
   4.68	3.11
  4.681	3.25
  4.681	3.26
  4.682	3.13
  4.682	3.19
  4.683	3.06
  4.684	2.95
  4.684	 3.2
  4.684	2.75
  4.686	3.03
  4.688	3.14
  4.689	3.14
   4.69	3.03
  4.691	3.13
  4.692	3.06
  4.693	   3
  4.694	 3.2
  4.695	3.43
  4.695	3.13
  4.695	2.99
  4.696	3.07
  4.697	3.12
    4.7	2.97
    4.7	3.09
  4.701	3.03
  4.702	   3
  4.704	2.97
  4.704	3.16
  4.705	3.29
  4.705	3.16
  4.705	2.92
  4.706	3.33
  4.708	3.23
  4.708	3.19
   4.71	3.64
  4.711	3.26
  4.712	 3.2
  4.714	3.73
  4.716	3.22
  4.717	2.95
  4.718	3.23
   4.72	3.69
   4.72	3.19
  4.721	3.36
  4.722	3.06
  4.723	3.12
  4.724	3.09
  4.724	3.01
  4.724	3.21
  4.726	2.97
  4.726	   3
  4.726	2.76
  4.728	3.04
   4.73	 3.2
  4.731	2.93
  4.731	3.01
  4.732	2.69
  4.733	2.87
  4.733	2.99
  4.734	3.08
  4.735	3.04
  4.735	3.05
  4.735	3.27
  4.736	2.91
  4.737	2.91
  4.739	3.02
   4.74	2.84
  4.742	2.93
  4.742	2.84
  4.742	2.83
  4.743	2.86
  4.744	3.21
  4.745	2.96
  4.745	3.03
  4.746	3.01
  4.748	 3.2
  4.748	 3.2
  4.751	3.13
  4.751	3.32
  4.752	3.14
  4.752	3.18
  4.753	 2.8
  4.756	3.27
  4.758	3.17
  4.758	3.27
   4.76	3.31
  4.761	3.02
  4.762	3.38
  4.763	2.86
  4.763	2.78
  4.764	3.01
  4.764	 3.2
  4.765	3.12
  4.766	2.98
  4.767	3.13
  4.767	2.99
  4.768	2.81
  4.768	3.12
  4.769	2.78
  4.771	3.04
  4.772	2.93
  4.772	3.08
  4.773	2.78
  4.774	2.75
  4.776	3.04
  4.776	3.08
  4.779	3.19
   4.78	3.01
   4.78	 3.2
  4.781	2.88
  4.783	3.04
  4.784	3.33
  4.784	2.75
  4.787	   3
  4.788	3.36
  4.789	3.24
   4.79	3.23
  4.791	3.25
  4.792	3.27
  4.793	3.32
  4.793	3.05
  4.794	3.02
  4.794	3.04
  4.796	3.02
  4.796	3.18
  4.797	3.09
  4.798	2.88
  4.799	3.25
    4.8	2.99
    4.8	3.11
  4.802	2.86
  4.804	2.61
  4.804	3.09
  4.805	2.59
  4.806	3.14
  4.808	3.11
   4.81	2.97
   4.81	2.75
   4.81	2.65
  4.812	3.21
  4.816	2.76
  4.816	3.31
   4.82	2.63
   4.82	3.36
   4.82	2.59
  4.822	3.15
  4.823	2.74
  4.824	 3.4
  4.825	3.28
  4.826	3.36
  4.827	3.29
  4.828	3.31
  4.828	3.45
  4.829	3.59
   4.83	3.47
   4.83	2.53
  4.832	3.42
  4.833	3.37
  4.835	3.34
  4.836	3.34
  4.837	3.39
  4.839	3.32
   4.84	3.34
  4.841	3.31
  4.841	2.67
  4.841	2.93
  4.842	2.99
  4.842	2.99
  4.843	2.98
  4.843	3.23
  4.844	3.35
  4.845	   3
  4.845	3.06
  4.846	2.94
  4.848	3.09
  4.848	2.99
  4.848	3.21
  4.849	2.74
   4.85	2.96
  4.851	2.92
  4.851	2.87
  4.852	2.73
  4.852	3.14
  4.854	2.93
  4.854	2.83
  4.854	2.85
  4.856	2.99
  4.856	3.18
  4.859	3.03
   4.86	2.94
   4.86	3.21
  4.861	3.05
  4.861	2.56
  4.864	2.76
  4.864	 3.2
  4.864	3.21
  4.866	3.19
  4.868	3.42
  4.868	3.21
  4.869	 3.4
   4.87	3.53
  4.871	3.47
  4.872	3.26
  4.873	2.56
  4.874	3.46
  4.875	3.26
  4.876	3.55
  4.876	3.38
  4.878	 3.4
  4.879	3.45
   4.88	3.51
  4.881	3.36
  4.883	3.19
  4.883	2.63
  4.884	3.12
  4.884	3.53
  4.885	3.42
  4.887	3.14
  4.888	3.53
  4.889	2.94
   4.89	3.04
  4.892	   3
  4.892	3.35
  4.895	2.54
  4.895	3.29
  4.895	2.85
  4.896	3.23
  4.897	2.87
  4.898	2.96
    4.9	2.95
    4.9	 3.2
  4.902	3.04
  4.904	3.03
  4.904	3.06
  4.904	3.22
  4.906	3.06
  4.907	2.96
  4.908	3.24
  4.909	3.08
  4.909	2.77
  4.911	3.04
  4.912	3.22
  4.914	2.94
  4.916	   3
  4.916	3.22
  4.918	3.15
  4.918	2.98
  4.919	2.75
   4.92	2.94
   4.92	3.27
  4.922	   3
  4.924	3.32
  4.925	3.13
  4.927	 3.1
  4.928	3.11
  4.928	 2.8
  4.928	3.39
   4.93	3.17
  4.932	3.14
  4.932	3.41
  4.933	3.15
  4.936	3.09
  4.936	3.15
  4.936	3.41
  4.938	3.09
   4.94	3.03
   4.94	3.34
   4.94	2.71
  4.941	2.97
  4.941	 2.8
  4.943	2.94
  4.944	3.22
  4.945	2.84
  4.947	2.97
  4.948	3.18
   4.95	2.74
  4.951	2.98
  4.951	3.12
  4.951	 2.8
  4.952	3.18
  4.955	3.17
  4.956	3.02
  4.956	 3.2
  4.959	2.84
   4.96	3.22
   4.96	 2.6
  4.961	2.57
  4.963	3.01
  4.963	2.93
  4.964	3.23
  4.965	3.13
  4.965	2.86
  4.966	2.67
  4.967	2.57
  4.969	2.89
  4.969	2.35
  4.972	2.45
  4.974	2.87
  4.975	2.94
  4.977	2.95
  4.978	3.12
  4.978	2.88
   4.98	2.66
  4.981	2.76
  4.981	 3.1
  4.983	 2.8
  4.984	2.94
  4.984	2.57
  4.985	3.07
  4.987	2.76
  4.987	2.93
  4.988	2.87
  4.988	2.82
  4.993	3.23
  4.994	 2.9
  4.994	2.92
  4.997	3.22
  4.998	3.01
  4.998	2.82
  4.999	3.01
      5	2.35
  5.002	2.97
  5.003	2.35
  5.006	2.98
  5.008	2.89
  5.008	2.66
   5.01	3.14
  5.012	 2.9
  5.015	3.31
  5.015	 2.9
  5.016	3.12
  5.019	2.93
  5.019	3.06
   5.02	2.81
  5.024	2.84
  5.025	2.94
  5.029	2.83
  5.029	 2.8
  5.029	2.97
  5.033	 2.7
  5.035	2.93
  5.038	2.95
  5.038	 2.2
   5.04	2.82
  5.041	3.29
  5.041	2.79
  5.044	2.59
  5.045	3.26
  5.045	2.88
  5.047	2.79
  5.049	3.15
  5.051	 2.8
  5.052	3.13
  5.054	2.86
  5.055	2.79
  5.057	2.99
  5.057	2.99
  5.061	3.08
  5.062	2.98
  5.065	   3
  5.066	2.89
  5.068	2.82
  5.069	2.98
   5.07	2.88
  5.071	3.04
  5.072	 2.9
  5.074	2.86
  5.075	 2.5
  5.076	3.07
  5.082	 2.9
  5.082	2.71
  5.086	2.69
  5.087	2.83
  5.091	3.04
  5.091	2.93
  5.095	 2.7
  5.095	3.11
  5.099	2.88
  5.099	3.15
  5.102	 2.8
  5.103	2.66
  5.103	3.29
  5.105	2.58
  5.107	2.78
  5.108	2.98
  5.109	2.99
  5.111	2.91
  5.113	3.18
  5.114	3.11
  5.115	3.12
  5.117	3.01
  5.118	3.09
  5.118	 2.9
   5.12	2.93
  5.122	2.99
  5.124	2.77
  5.126	2.93
  5.127	3.04
  5.127	2.79
  5.128	2.46
   5.13	 2.7
  5.132	2.74
  5.132	3.17
  5.134	2.52
  5.136	2.61
  5.137	 2.5
  5.139	2.73
  5.139	2.86
   5.14	2.82
  5.141	2.84
  5.142	2.99
  5.142	2.92
  5.143	2.89
  5.145	2.86
  5.146	2.98
  5.147	 2.8
  5.147	2.72
  5.148	2.94
  5.148	2.74
   5.15	2.55
   5.15	2.94
  5.152	2.94
  5.152	3.19
  5.154	2.92
  5.155	2.72
  5.156	3.02
  5.157	3.01
  5.158	3.28
  5.159	2.82
  5.159	 3.3
  5.159	2.58
  5.159	2.81
   5.16	3.19
  5.162	 3.1
  5.163	2.56
  5.164	3.11
  5.165	3.21
  5.166	3.16
  5.166	 2.7
  5.167	2.97
  5.168	 2.9
  5.169	2.57
   5.17	2.86
   5.17	 2.9
   5.17	2.98
   5.17	2.82
  5.172	2.89
  5.173	3.09
  5.175	2.73
  5.175	2.89
  5.178	2.62
  5.179	2.95
  5.183	2.66
  5.183	2.48
  5.183	2.71
  5.184	2.84
  5.185	2.78
  5.187	2.96
  5.188	2.59
  5.189	2.87
   5.19	 3.3
  5.191	2.87
  5.193	2.87
  5.193	2.63
  5.194	2.81
  5.196	 2.8
  5.198	2.77
    5.2	 2.8
  5.203	 2.5
  5.205	2.89
  5.206	2.79
  5.207	2.73
  5.209	2.49
  5.211	 2.9
  5.215	2.87
  5.217	2.91
  5.219	2.95
   5.22	2.87
  5.221	2.92
  5.222	2.65
  5.222	2.69
  5.224	   3
  5.224	2.91
  5.225	2.77
  5.228	2.57
  5.232	2.79
  5.236	2.53
  5.237	3.12
  5.237	2.95
  5.238	2.89
  5.239	   3
   5.24	2.62
  5.241	2.92
  5.242	2.61
  5.243	2.96
  5.244	3.41
  5.245	2.65
  5.246	3.07
  5.247	2.86
  5.248	2.83
  5.249	2.86
  5.249	2.47
  5.251	2.87
  5.252	3.02
  5.253	 2.8
  5.253	 2.7
  5.255	2.72
  5.257	2.73
  5.257	2.68
  5.259	2.82
  5.261	2.77
  5.261	2.59
  5.264	2.95
  5.266	2.72
 5.2679	 2.7
  5.268	2.97
  5.268	3.15
  5.269	2.85
  5.269	2.93
  5.269	2.73
  5.271	 2.9
  5.271	2.93
  5.272	2.95
  5.273	3.06
  5.273	2.49
  5.274	2.95
  5.275	 2.9
  5.276	3.17
  5.277	3.07
  5.278	2.68
  5.279	2.79
  5.281	2.94
  5.281	2.77
  5.283	2.94
  5.284	2.65
  5.286	2.87
  5.286	2.74
  5.288	2.89
  5.289	2.96
  5.289	2.77
   5.29	2.69
  5.291	2.74
  5.294	2.84
  5.295	2.79
  5.298	2.93
  5.299	   3
  5.299	2.93
    5.3	   3
  5.302	3.04
  5.303	2.88
  5.304	2.84
  5.305	3.03
  5.306	2.88
  5.308	 2.7
 5.3084	2.61
  5.309	2.76
  5.312	 2.9
  5.313	2.94
  5.315	2.69
  5.318	2.97
  5.318	2.76
   5.32	2.77
  5.322	2.79
  5.323	2.73
  5.325	2.62
  5.327	2.71
  5.327	2.76
   5.33	2.29
  5.331	2.58
  5.332	2.95
  5.334	3.09
  5.336	2.82
  5.336	2.78
  5.338	2.94
   5.34	2.93
   5.34	2.86
  5.343	2.92
  5.347	2.97
  5.349	2.55
  5.349	2.96
   5.35	2.75
 5.3511	 2.7
  5.352	3.11
  5.354	2.76
  5.355	3.18
  5.357	3.02
  5.359	2.75
  5.361	2.86
 5.3625	2.52
  5.363	2.76
  5.364	2.62
  5.365	3.09
  5.369	   3
  5.369	2.61
  5.371	2.87
  5.372	2.88
  5.373	3.11
  5.374	2.92
  5.377	2.89
  5.379	3.08
  5.379	2.53
  5.381	   3
  5.384	2.79
  5.384	2.91
  5.386	2.79
  5.386	2.81
  5.388	2.86
  5.389	2.87
  5.391	2.75
  5.393	2.62
  5.394	2.73
  5.394	 2.6
  5.396	2.73
  5.397	2.68
  5.398	2.92
    5.4	2.68
    5.4	2.75
  5.401	3.23
  5.403	2.81
 5.4031	2.67
  5.405	2.76
  5.406	2.96
  5.408	2.99
  5.409	3.04
  5.411	2.98
  5.412	2.78
  5.413	2.92
  5.415	2.92
  5.415	2.79
  5.418	3.11
   5.42	3.03
   5.42	0.42
  5.421	2.95
  5.422	3.06
  5.425	2.77
  5.427	2.86
  5.429	2.92
   5.43	2.73
  5.432	3.21
  5.434	2.79
  5.435	2.86
  5.437	3.35
  5.438	2.81
  5.439	2.84
  5.441	 2.8
 5.4437	2.77
  5.444	2.77
  5.445	 2.7
  5.447	2.84
   5.45	 2.9
