Age (Ma)	d18O adj
  0.332	3.41
  0.333	3.31
 0.3338	3.53
  0.335	3.82
  0.336	3.77
 0.3387	3.81
   0.34	4.07
   0.34	4.24
 0.3405	4.77
  0.341	4.53
  0.343	4.85
  0.344	3.64
  0.344	4.56
 0.3442	4.52
  0.346	4.79
  0.347	 4.4
  0.348	 4.6
  0.349	4.49
  0.349	4.14
 0.3503	4.71
  0.352	4.45
  0.353	4.79
  0.353	4.33
 0.3536	4.37
  0.355	4.25
  0.356	4.72
  0.356	4.23
  0.356	 4.4
 0.3569	4.12
  0.357	4.61
   0.36	 4.1
   0.36	4.11
   0.36	4.34
 0.3602	4.44
  0.362	4.35
  0.363	3.88
  0.364	4.21
  0.365	4.39
  0.365	4.09
  0.366	4.46
  0.366	4.07
 0.3668	4.39
  0.368	3.93
  0.368	4.12
 0.3685	4.27
 0.3716	4.34
  0.372	4.03
  0.372	4.08
 0.3733	4.22
  0.375	4.14
  0.376	4.05
 0.3771	4.25
  0.378	4.03
 0.3799	 4.2
   0.38	4.02
  0.382	3.99
 0.3832	3.96
  0.384	3.92
  0.384	4.02
 0.3865	3.88
  0.388	3.97
  0.389	3.85
  0.389	3.48
 0.3898	3.78
  0.392	3.84
 0.3931	3.74
  0.395	3.54
  0.396	3.41
 0.3964	3.56
 0.3979	3.41
  0.398	3.66
 0.3987	3.29
    0.4	3.19
 0.4009	3.04
  0.401	3.24
 0.4016	2.81
 0.4033	3.18
  0.404	3.15
 0.4046	3.33
  0.405	2.89
  0.406	3.67
  0.406	3.14
 0.4075	3.64
  0.408	3.25
 0.4089	3.63
   0.41	3.34
   0.41	3.34
 0.4106	3.81
  0.412	 3.1
  0.412	3.35
 0.4125	4.77
  0.413	3.24
  0.416	3.45
 0.4162	4.74
 0.4179	4.82
  0.418	3.03
  0.419	3.87
 0.4198	4.96
   0.42	4.46
   0.42	3.55
  0.423	3.47
  0.423	3.62
  0.424	4.13
  0.425	3.73
  0.426	4.88
 0.4271	 4.7
  0.428	4.65
  0.428	4.79
   0.43	4.56
  0.431	4.67
 0.4312	4.45
  0.432	5.18
  0.432	4.86
 0.4344	4.76
  0.436	5.21
  0.436	4.57
  0.436	 4.9
  0.438	4.68
   0.44	5.05
   0.44	4.89
  0.441	4.27
 0.4417	4.69
  0.444	4.83
  0.444	4.71
  0.445	4.43
 0.4453	4.63
  0.447	 4.8
  0.448	4.56
   0.45	4.25
  0.452	5.01
  0.452	4.58
 0.4526	4.27
  0.454	4.11
 0.4545	3.91
  0.455	4.81
  0.456	4.61
 0.4577	4.03
   0.46	4.15
   0.46	4.54
  0.461	4.77
 0.4613	4.37
  0.464	 4.2
  0.464	4.46
 0.4645	4.43
  0.465	 4.2
  0.467	4.38
  0.468	4.33
 0.4686	3.99
  0.469	4.61
  0.471	4.67
  0.471	4.92
  0.472	4.22
 0.4722	3.76
  0.474	4.14
  0.475	3.85
 0.4759	3.52
  0.476	 4.2
  0.478	4.02
 0.4795	3.83
   0.48	4.41
   0.48	4.11
  0.481	4.32
  0.482	3.92
  0.483	3.95
  0.483	3.63
  0.484	3.84
 0.4849	3.79
  0.485	3.86
  0.485	4.12
  0.487	3.77
  0.488	3.28
  0.488	3.71
   0.49	3.45
 0.4913	3.97
  0.492	3.57
  0.492	3.63
  0.493	3.95
  0.495	3.54
  0.496	3.66
  0.497	3.64
 0.4973	4.24
  0.498	 3.7
    0.5	3.79
  0.501	3.89
  0.502	3.75
  0.503	3.92
  0.504	 3.9
  0.505	4.11
 0.5057	4.58
  0.506	3.64
  0.508	3.93
  0.508	3.95
  0.511	4.19
  0.511	3.98
  0.512	4.02
  0.513	4.18
  0.516	3.89
  0.516	4.18
 0.5168	4.53
  0.517	4.18
   0.52	4.15
  0.521	3.75
  0.523	3.98
  0.524	4.06
  0.525	 3.7
  0.526	3.86
  0.528	4.04
 0.5295	4.53
   0.53	3.86
  0.531	3.92
  0.532	 4.2
  0.535	4.19
  0.536	3.77
  0.536	4.27
   0.54	4.45
   0.54	4.28
  0.541	4.33
 0.5422	4.28
  0.544	 4.4
  0.545	 4.7
  0.545	4.18
  0.548	4.39
  0.549	4.68
   0.55	4.29
  0.552	4.28
  0.554	4.82
  0.554	4.06
 0.5549	4.25
  0.556	4.26
  0.558	4.47
  0.558	3.99
   0.56	4.15
  0.562	3.83
  0.564	4.06
  0.565	4.31
  0.567	 3.6
 0.5676	3.71
  0.568	3.92
 0.5707	3.73
  0.571	3.92
  0.571	3.58
  0.572	3.75
 0.5735	3.84
  0.574	3.69
  0.575	3.59
  0.576	 3.5
  0.577	3.11
  0.578	3.32
  0.579	4.06
   0.58	 3.8
   0.58	3.58
 0.5805	3.73
 0.5821	3.66
  0.583	4.13
  0.584	3.86
 0.5846	3.69
  0.585	 4.5
  0.587	3.98
  0.588	4.06
 0.5883	 3.6
 0.5898	3.86
 0.5915	3.68
  0.592	3.67
  0.592	4.04
  0.593	3.59
 0.5954	3.48
  0.596	3.69
  0.596	 3.8
  0.596	 3.8
  0.596	 3.9
  0.596	 3.6
  0.596	 3.9
 0.5967	3.52
    0.6	3.83
 0.6009	3.23
  0.601	4.45
  0.601	3.85
  0.604	3.98
  0.605	3.49
  0.606	4.23
  0.608	3.97
 0.6092	3.66
   0.61	3.73
  0.612	3.31
  0.612	4.35
  0.612	3.69
  0.614	3.62
 0.6153	3.45
  0.616	3.39
 0.6166	3.63
  0.617	2.85
  0.619	3.25
 0.6192	3.99
   0.62	 3.7
   0.62	3.73
 0.6211	4.08
  0.623	3.95
  0.623	4.42
  0.624	4.41
  0.625	4.04
  0.627	4.83
  0.628	5.01
  0.628	4.36
  0.628	4.79
   0.63	4.78
  0.631	4.28
  0.632	5.06
  0.632	5.08
  0.635	4.78
  0.636	4.98
  0.636	4.99
  0.638	4.56
 0.6399	4.67
   0.64	4.83
 0.6413	4.76
  0.642	4.36
  0.644	4.78
 0.6443	4.65
  0.646	4.16
  0.648	4.52
  0.648	4.79
  0.649	4.26
  0.652	4.72
  0.653	4.29
  0.656	4.59
  0.657	4.25
 0.6572	 4.6
 0.6598	4.55
   0.66	4.25
   0.66	4.52
 0.6625	4.59
  0.664	4.12
  0.664	4.52
 0.6664	4.51
 0.6678	4.44
  0.668	4.03
  0.668	4.45
 0.6708	4.25
  0.671	3.92
  0.672	4.36
 0.6731	3.93
  0.674	4.91
  0.675	4.07
 0.6757	3.84
  0.676	4.28
  0.677	4.65
 0.6784	3.78
   0.68	4.48
   0.68	4.18
  0.681	3.72
  0.683	4.26
 0.6837	3.56
  0.684	3.98
  0.685	3.36
  0.686	4.13
 0.6863	3.47
  0.688	3.77
  0.689	3.42
   0.69	3.48
  0.692	3.62
  0.692	3.68
  0.694	3.43
  0.694	3.36
  0.696	 3.5
  0.696	3.75
 0.6978	3.59
    0.7	3.93
  0.701	3.64
  0.701	3.49
  0.704	3.85
  0.704	4.18
  0.705	3.55
 0.7078	3.93
  0.708	 4.3
  0.712	4.34
  0.713	4.38
  0.713	4.19
  0.715	4.84
  0.715	3.86
  0.716	4.35
 0.7165	4.53
   0.72	4.57
   0.72	4.37
  0.723	4.33
 0.7235	4.44
  0.724	 4.3
  0.725	3.83
 0.7269	4.42
  0.728	 4.2
   0.73	3.95
 0.7304	4.05
  0.732	4.22
 0.7339	3.78
  0.734	3.99
  0.736	 3.9
  0.736	4.23
  0.739	4.02
   0.74	 4.2
 0.7409	4.03
  0.743	4.25
  0.744	4.15
 0.7448	4.09
  0.745	4.28
 0.7478	4.41
  0.748	4.13
 0.7513	4.55
  0.752	4.19
 0.7548	4.53
  0.755	4.66
  0.755	4.38
  0.756	4.28
  0.757	 4.3
  0.758	4.75
 0.7583	4.48
   0.76	4.47
   0.76	4.28
  0.761	3.93
 0.7618	4.37
  0.763	3.99
  0.764	4.17
 0.7652	4.32
  0.766	4.11
 0.7671	 4.2
  0.768	4.12
  0.768	4.05
  0.769	4.14
  0.772	3.88
 0.7741	3.96
  0.775	4.02
  0.776	3.71
 0.7778	3.58
   0.78	3.71
   0.78	3.59
  0.784	3.27
  0.784	 3.6
 0.7847	3.75
  0.788	4.28
  0.788	4.14
  0.788	3.82
   0.79	3.93
  0.791	4.72
  0.792	4.16
  0.793	4.66
  0.796	4.44
  0.796	4.41
 0.7966	4.47
 0.7977	4.32
 0.7994	4.52
    0.8	 4.3
    0.8	4.39
 0.8035	4.16
  0.804	4.31
  0.805	4.19
  0.806	4.44
  0.807	 4.5
  0.808	4.17
 0.8082	3.74
  0.811	3.67
  0.812	3.83
  0.812	4.08
  0.816	   4
  0.816	4.07
 0.8182	3.74
   0.82	4.05
  0.822	3.58
  0.824	3.92
  0.824	 3.9
 0.8253	3.81
  0.828	3.85
  0.832	4.12
  0.832	3.78
 0.8347	3.83
  0.836	3.81
  0.836	3.78
   0.84	3.67
   0.84	3.73
  0.843	3.56
  0.843	3.25
  0.844	3.63
 0.8478	3.54
  0.848	3.59
  0.851	3.87
  0.852	3.61
 0.8527	3.33
  0.856	3.72
 0.8598	3.67
   0.86	2.86
   0.86	3.72
 0.8623	4.17
  0.864	3.71
  0.865	4.35
 0.8678	3.85
  0.868	 4.2
  0.872	4.64
  0.872	4.56
  0.873	 4.6
  0.876	4.59
 0.8781	 4.4
   0.88	4.53
 0.8812	3.81
  0.884	4.74
  0.884	4.42
 0.8843	4.34
  0.887	4.28
  0.888	4.38
   0.89	4.31
   0.89	4.52
 0.8904	3.93
  0.892	 4.4
  0.893	4.28
  0.896	4.13
  0.896	 4.3
 0.8966	 4.1
  0.897	3.82
    0.9	4.21
  0.902	4.19
 0.9031	4.04
  0.904	 3.9
  0.904	4.14
 0.9058	4.11
  0.908	3.95
  0.908	4.15
 0.9089	 3.9
  0.909	3.77
  0.911	3.79
  0.911	4.19
 0.9119	4.09
  0.912	4.23
 0.9134	4.06
  0.915	4.48
  0.916	4.57
  0.916	4.28
 0.9186	3.37
   0.92	4.25
 0.9237	4.28
  0.924	3.92
  0.924	4.08
 0.9276	3.99
  0.928	3.93
  0.929	4.07
 0.9312	3.82
  0.932	3.83
 0.9336	3.81
  0.936	3.55
  0.936	 3.8
  0.936	3.78
  0.939	3.74
   0.94	3.63
 0.9404	3.42
  0.944	3.51
  0.944	3.43
  0.944	3.58
  0.944	3.53
 0.9464	3.38
  0.948	3.48
   0.95	3.17
 0.9517	3.28
  0.952	3.45
  0.953	2.95
 0.9549	3.29
  0.956	3.18
  0.956	 3.8
  0.958	3.46
   0.96	4.48
   0.96	4.06
  0.962	4.23
  0.964	4.22
 0.9641	4.42
 0.9661	3.85
  0.967	 4.1
  0.968	4.13
 0.9705	4.09
  0.971	3.88
  0.972	3.89
 0.9738	3.84
  0.976	3.45
  0.976	3.85
 0.9776	3.81
   0.98	3.98
   0.98	   4
 0.9809	3.79
  0.984	3.95
  0.984	4.02
 0.9852	3.97
  0.988	3.64
  0.988	3.92
  0.989	4.05
  0.989	4.25
  0.992	3.67
  0.992	 3.9
 0.9926	3.87
  0.996	3.47
  0.996	3.94
 0.9973	3.61
      1	4.01
 1.0014	3.77
 1.0033	3.56
  1.004	4.13
  1.005	4.41
 1.0073	4.12
  1.008	4.19
 1.0097	4.22
   1.01	 3.9
  1.012	4.06
  1.013	3.98
  1.014	 3.9
  1.016	3.89
 1.0165	3.72
  1.018	 3.6
 1.0191	3.77
   1.02	3.75
 1.0216	3.59
  1.022	3.89
  1.024	3.72
 1.0241	3.38
 1.0249	3.68
  1.026	 3.3
 1.0276	3.54
  1.028	3.83
 1.0299	3.77
  1.031	3.77
  1.032	3.55
  1.032	3.99
 1.0336	4.26
 1.0343	4.28
  1.035	4.14
 1.0356	4.46
  1.036	4.21
 1.0373	4.39
  1.038	4.08
   1.04	4.38
 1.0409	4.51
  1.044	4.36
  1.048	4.36
  1.048	 4.2
 1.0481	3.85
 1.0517	3.94
  1.052	3.81
  1.052	4.14
  1.054	3.84
  1.056	3.71
  1.056	4.02
 1.0569	3.88
   1.06	3.18
   1.06	3.83
 1.0609	3.14
 1.0628	3.14
  1.064	3.25
  1.064	3.56
 1.0659	2.93
  1.068	2.98
  1.068	3.34
 1.0694	2.99
  1.072	3.38
  1.073	 3.2
  1.074	3.31
  1.076	3.59
 1.0778	3.32
  1.078	3.81
   1.08	3.53
   1.08	3.75
  1.084	3.87
  1.087	3.53
 1.0873	3.69
  1.088	3.88
  1.092	4.01
 1.0921	3.84
  1.093	3.79
 1.0947	3.75
  1.096	4.16
 1.0991	3.59
    1.1	4.03
 1.1017	3.75
  1.103	3.91
  1.104	3.95
  1.106	3.77
 1.1071	3.53
  1.108	3.93
 1.1106	3.43
  1.111	3.72
  1.112	3.98
  1.116	3.83
  1.116	4.04
  1.117	3.92
   1.12	4.17
 1.1237	4.17
  1.124	4.24
 1.1275	4.63
  1.128	4.21
 1.1293	4.15
  1.132	4.67
  1.132	4.19
 1.1331	3.98
  1.136	4.18
 1.1375	3.83
   1.14	4.09
 1.1433	3.78
  1.144	3.98
  1.145	3.72
 1.1472	3.67
  1.148	3.83
  1.148	3.89
   1.15	3.98
 1.1505	 3.4
  1.152	3.84
  1.155	3.82
  1.156	3.76
  1.159	 3.7
   1.16	3.75
 1.1602	3.37
  1.163	3.39
  1.164	3.74
 1.1658	3.39
  1.166	3.85
  1.168	3.66
 1.1697	3.41
   1.17	3.61
  1.172	3.59
  1.173	3.49
  1.174	3.33
 1.1758	3.72
  1.176	3.66
  1.178	3.36
 1.1791	3.31
   1.18	3.82
 1.1812	3.36
  1.182	 3.6
  1.184	3.88
 1.1855	3.43
  1.186	3.09
  1.188	3.87
 1.1888	4.09
  1.189	3.26
 1.1899	3.54
  1.192	3.94
 1.1927	4.14
  1.193	3.45
  1.196	4.16
  1.196	4.08
 1.1965	4.19
  1.197	3.94
    1.2	 4.2
 1.2004	4.43
  1.203	4.09
  1.204	4.35
 1.2042	4.43
  1.206	4.31
  1.206	4.15
  1.208	4.41
 1.2081	4.21
  1.211	4.69
 1.2119	4.22
  1.212	4.33
  1.213	4.57
 1.2137	 4.5
  1.216	4.11
  1.217	3.71
 1.2176	4.15
  1.218	 3.7
 1.2196	4.06
   1.22	3.83
  1.222	4.14
  1.224	3.78
  1.224	 3.6
  1.226	3.52
 1.2276	 3.6
  1.228	3.46
   1.23	3.11
 1.2317	3.18
  1.232	3.35
  1.234	3.12
 1.2358	3.11
  1.236	3.35
 1.2399	 3.2
   1.24	3.43
  1.241	3.32
  1.244	3.16
  1.244	 4.2
  1.244	3.71
  1.248	 4.5
  1.248	4.03
 1.2488	4.36
 1.2499	4.43
  1.252	4.32
  1.252	 4.1
 1.2523	4.51
  1.253	4.01
 1.2536	4.48
  1.255	 4.4
  1.256	4.14
  1.257	4.22
  1.258	 3.6
   1.26	3.86
   1.26	4.11
  1.264	3.92
 1.2642	 3.9
  1.267	3.92
 1.2675	3.81
  1.268	3.75
   1.27	3.28
 1.2718	3.75
  1.272	 3.7
  1.275	3.37
 1.2757	3.88
  1.276	3.69
  1.279	3.37
   1.28	3.75
 1.2817	3.92
  1.284	3.88
  1.284	3.93
  1.285	3.73
 1.2852	3.82
  1.288	4.16
 1.2891	4.35
  1.291	4.31
 1.2919	4.35
  1.292	4.16
 1.2929	4.24
  1.296	4.04
 1.2967	3.99
    1.3	4.18
    1.3	3.97
 1.3006	3.64
 1.3039	3.65
  1.304	3.95
 1.3056	3.56
  1.308	3.95
 1.3091	3.54
  1.312	3.87
 1.3144	3.94
  1.315	 3.7
  1.316	3.78
 1.3172	3.88
   1.32	3.84
 1.3205	   4
 1.3237	3.38
  1.324	4.02
 1.3269	4.05
  1.327	3.93
  1.328	 4.1
 1.3301	3.78
  1.332	4.08
 1.3334	4.13
  1.336	4.31
  1.336	4.09
 1.3366	4.26
 1.3379	4.09
   1.34	4.04
  1.341	3.71
 1.3427	3.49
  1.344	3.51
  1.344	3.86
 1.3458	3.57
  1.348	3.59
 1.3503	 3.2
  1.352	3.47
 1.3543	3.09
  1.355	3.09
  1.356	 3.5
 1.3588	3.37
  1.359	3.24
   1.36	3.67
  1.362	3.71
  1.363	3.74
 1.3636	3.84
  1.364	3.99
 1.3651	4.09
 1.3665	4.21
  1.367	3.62
  1.368	4.14
 1.3689	4.19
 1.3699	4.17
  1.372	4.25
  1.372	4.12
 1.3751	3.71
  1.376	   4
  1.376	4.12
 1.3796	3.75
   1.38	3.91
  1.382	4.28
  1.384	3.71
 1.3848	3.54
  1.387	3.62
  1.388	3.68
   1.39	2.71
 1.3901	3.48
  1.392	3.68
  1.393	3.86
 1.3953	3.38
  1.396	3.68
  1.398	2.97
    1.4	3.69
 1.4006	3.59
  1.403	3.21
  1.404	3.71
 1.4058	4.05
  1.408	3.49
  1.408	3.78
 1.4117	4.15
  1.412	3.97
  1.413	3.99
  1.416	   4
  1.418	4.19
   1.42	3.93
 1.4208	3.88
  1.424	 3.9
 1.4249	 4.1
  1.425	 4.3
  1.428	3.85
   1.43	2.99
  1.432	3.13
  1.432	 3.7
  1.434	3.43
 1.4341	3.62
  1.436	3.55
  1.437	3.39
   1.44	3.46
 1.4403	3.23
  1.444	3.37
  1.444	3.39
  1.446	3.29
 1.4466	3.33
  1.448	3.16
  1.448	3.43
  1.451	3.32
  1.452	 3.5
 1.4528	3.48
  1.455	 3.3
  1.456	3.56
 1.4567	4.04
 1.4584	4.26
  1.459	4.34
 1.4593	3.93
   1.46	3.96
 1.4613	4.38
 1.4623	4.34
  1.464	4.16
 1.4644	4.11
  1.465	4.19
 1.4679	3.56
  1.468	4.11
  1.469	3.85
  1.472	3.71
  1.473	4.41
  1.476	3.45
  1.477	3.91
 1.4779	3.31
   1.48	3.48
  1.484	3.46
  1.485	3.26
  1.488	3.34
  1.488	3.27
  1.488	3.44
  1.492	3.89
  1.493	3.38
  1.493	3.83
  1.496	3.68
  1.496	4.15
  1.496	4.11
  1.499	4.62
    1.5	4.22
 1.5004	4.27
  1.503	3.97
 1.5031	4.37
  1.504	4.37
  1.506	3.99
  1.508	3.86
  1.508	4.32
 1.5088	4.44
 1.5115	4.22
  1.512	 4.2
  1.513	3.63
 1.5144	   4
  1.516	4.08
  1.516	3.83
  1.516	3.99
 1.5174	   4
   1.52	3.78
 1.5204	3.64
 1.5233	3.58
  1.524	3.73
  1.525	3.52
 1.5263	3.66
 1.5279	3.62
  1.528	3.87
  1.532	 4.8
  1.532	   4
 1.5335	4.27
  1.536	 4.2
  1.539	3.83
 1.5397	4.42
   1.54	4.34
 1.5426	4.21
  1.543	4.15
  1.544	4.28
 1.5472	4.08
  1.548	 4.1
  1.549	4.07
 1.5493	3.91
  1.552	3.87
 1.5553	3.92
  1.556	 3.9
  1.556	3.66
 1.5568	 3.7
 1.5581	3.54
   1.56	3.54
 1.5613	3.44
  1.563	3.27
 1.5638	 3.5
  1.564	3.63
 1.5662	3.53
  1.567	3.87
 1.5679	3.59
  1.568	3.84
  1.571	3.88
 1.5712	3.97
  1.572	   4
  1.573	4.16
  1.576	4.07
 1.5767	4.39
  1.579	3.71
 1.5796	4.34
   1.58	4.08
 1.5829	 4.2
  1.584	   4
 1.5858	4.03
  1.588	4.49
  1.588	3.85
 1.5895	3.94
  1.592	3.75
 1.5929	 3.7
  1.596	3.66
  1.598	3.34
 1.5995	3.94
    1.6	3.52
  1.601	 3.9
  1.602	3.44
  1.604	 3.4
  1.606	3.66
 1.6066	3.45
  1.608	3.37
  1.612	3.42
 1.6123	3.53
  1.615	3.88
  1.616	3.61
 1.6161	3.52
 1.6189	3.82
  1.619	3.66
   1.62	3.76
  1.622	3.51
 1.6227	3.95
  1.624	3.83
  1.626	3.62
  1.627	3.94
  1.628	3.92
 1.6293	3.79
  1.632	3.87
 1.6326	3.87
  1.634	3.79
  1.634	3.51
  1.636	3.59
 1.6393	 3.5
   1.64	3.28
   1.64	3.62
  1.643	3.79
  1.644	 3.8
 1.6459	3.94
  1.646	3.56
  1.648	3.96
  1.648	4.09
  1.652	4.42
  1.652	 4.3
 1.6524	4.38
 1.6557	4.23
  1.656	4.26
  1.658	3.99
   1.66	4.16
 1.6623	4.32
  1.663	4.06
  1.664	4.02
 1.6656	4.34
  1.668	3.83
  1.669	4.39
 1.6704	3.79
  1.671	4.18
  1.672	 3.7
  1.675	4.38
 1.6754	3.73
  1.676	3.67
 1.6787	3.43
  1.679	3.98
   1.68	3.71
 1.6819	 3.5
  1.683	3.53
  1.684	3.81
 1.6852	3.74
  1.687	3.46
  1.688	3.89
 1.6885	3.59
  1.689	3.82
   1.69	3.57
 1.6918	3.94
  1.692	3.49
  1.692	3.89
 1.6951	3.61
  1.696	3.77
  1.696	3.94
 1.6979	4.14
    1.7	 4.1
 1.7003	4.24
  1.701	4.32
  1.704	4.06
  1.704	4.07
 1.7053	3.74
  1.706	3.88
 1.7078	3.56
  1.708	3.86
  1.709	4.12
  1.712	3.73
 1.7124	3.54
  1.714	3.38
 1.7153	3.72
  1.716	 3.8
  1.717	3.78
  1.719	3.67
 1.7199	4.08
   1.72	3.83
 1.7228	3.69
